accession,strain,lineage,date,joint_WHO_China_sample_id,addtl_annotations
EPI_ISL_419555,USA/WA-CDC-03063125-001/2020,B,2020-02-27,,other
EPI_ISL_418271,Switzerland/BS-UHB-42169171/2020,B.1,2020-02-27,,other
EPI_ISL_417765,Iceland/13/2020,B,2020-02-27,,other
EPI_ISL_417490,Norway/1443/2020,B,2020-02-27,,other
EPI_ISL_417483,Norway/1379/2020,B,2020-02-27,,other
EPI_ISL_417096,USA/WA-S43/2020,A,2020-02-27,,other
EPI_ISL_416485,Spain/VC-FISABIO-6/2020,A,2020-02-27,,other
EPI_ISL_415699,Switzerland/GR-HUG-3043/2020,B.1,2020-02-27,,other
EPI_ISL_415698,Switzerland/GR-HUG-2988/2020,B.1,2020-02-27,,other
EPI_ISL_415641,Georgia/Tb-54/2020,B,2020-02-27,,other
EPI_ISL_415578,Canada/BC_13297/2020,B.4,2020-02-27,,other
EPI_ISL_415144,England/20102000106/2020,B,2020-02-27,,other
EPI_ISL_414686,Guangzhou/GZMU0030-/2020,B,2020-02-27,,other
EPI_ISL_414523,England/200990660/2020,B.1,2020-02-27,,other
EPI_ISL_414508,Germany/NW-HHU-08/2020,B,2020-02-27,,other
EPI_ISL_414506,Germany/NW-HHU-07/2020,B,2020-02-27,,other
EPI_ISL_414505,Germany/NW-HHU-06/2020,B,2020-02-27,,other
EPI_ISL_414022,Switzerland/GE-SNRCI-29949586/2020,B.1,2020-02-27,,other
EPI_ISL_414021,Switzerland/BL-SNRCI-29950902/2020,B.1,2020-02-27,,other
EPI_ISL_414020,Switzerland/GE-SNRCI-29945373/2020,B.1,2020-02-27,,other
EPI_ISL_414019,Switzerland/GE-SNRCI-29943121/2020,B.1,2020-02-27,,other
EPI_ISL_414012,England/200990723/2020,B.1,2020-02-27,,other
EPI_ISL_414008,England/200960041/2020,B.4,2020-02-27,,other
EPI_ISL_413999,Switzerland/AG-SNRCI-29940361/2020,B.1,2020-02-27,,other
EPI_ISL_413586,Netherlands/Tilburg_1363354/2020,B,2020-02-27,,other
EPI_ISL_413561,USA/CA-CDPH-UC4/2020,B,2020-02-27,,other
EPI_ISL_413559,USA/CA-CDPH-UC3/2020,B,2020-02-27,,other
EPI_ISL_413558,USA/CA-CDPH-UC2/2020,B,2020-02-27,,other
EPI_ISL_413555,Wales/PHW1/2020,B.1,2020-02-27,,other
EPI_ISL_413550,Nigeria/Lagos01/2020,B.1,2020-02-27,,other
EPI_ISL_413515,SouthKorea/KUMC05/2020,A,2020-02-27,,other
EPI_ISL_413513,SouthKorea/KUMC03/2020,A,2020-02-27,,other
EPI_ISL_413490,NewZealand/20VR0174/2020,B.4,2020-02-27,,other
EPI_ISL_413025,USA/WA3-UW1/2020,B,2020-02-27,,other
EPI_ISL_413020,Switzerland/ZH-UZH-1000477377/2020,B.1,2020-02-27,,other
EPI_ISL_412972,Mexico/CMX-InDRE-01/2020,B.1,2020-02-27,,other
EPI_ISL_2896259,Georgia/MM202054/2020,B,2020-02-27,,other
EPI_ISL_1064076,Italy/VEN-SI-9-B/2020,B,2020-02-27,,other
EPI_ISL_1064075,Italy/VEN-SR-73-B/2020,B,2020-02-27,,other
EPI_ISL_1064074,Italy/VEN-SR-49-B/2020,B,2020-02-27,,other
EPI_ISL_1064073,Italy/VEN-SR-20-B/2020,B,2020-02-27,,other
EPI_ISL_1064072,Italy/VEN-SR-16-B/2020,B,2020-02-27,,other
EPI_ISL_1064071,Italy/VEN-SR-15-B/2020,B,2020-02-27,,other
EPI_ISL_1064070,Italy/VEN-SR-36-B/2020,B,2020-02-27,,other
EPI_ISL_1064069,Italy/VEN-SR-26-B/2020,B,2020-02-27,,other
EPI_ISL_1064068,Italy/VEN-SR-38-B/2020,B,2020-02-27,,other
EPI_ISL_1040047,Henan/fahzu0034/2020,B,2020-02-27,,other
EPI_ISL_1040046,Henan/fahzu0033/2020,A,2020-02-27,,other
OR240546,SH-P69-J-3-Shanghai/2020-02-28,B,2020-02-28,,other
EPI_ISL_978512,Brazil/BA-27/2020,B.1,2020-02-28,,other
EPI_ISL_940537,France/IDF_HB_112002105432/2020,B.1,2020-02-28,,other
EPI_ISL_940535,France/IDF_HB_112002107124/2020,B.1,2020-02-28,,other
EPI_ISL_940531,France/IDF_HB_112002105286/2020,B.1,2020-02-28,,other
EPI_ISL_862654,Spain/EX-ISCIII-201247/2020,B,2020-02-28,,other
EPI_ISL_729478,Germany/NW-ChVir1683/2020,B,2020-02-28,,other
EPI_ISL_728208,Japan/FHU-CS84-0228/2020,B,2020-02-28,,other
EPI_ISL_693387,France/PAC02003/2020,B,2020-02-28,,other
EPI_ISL_684111,Japan/PG-0075/2020,B,2020-02-28,,other
EPI_ISL_629082,France/ARA-SC002/2020,B.1,2020-02-28,,other
EPI_ISL_629081,France/ARA-SC001/2020,B.1,2020-02-28,,other
EPI_ISL_613446,SaintBarthelemy/IPG-7358/2020,B.1,2020-02-28,,other
EPI_ISL_582626,UnitedArabEmirates/skmc-01319674/2020,B0,2020-02-28,,other
EPI_ISL_542252,Italy/LOM-UniMI-L288/2020,B.1,2020-02-28,,other
EPI_ISL_542251,Italy/LOM-UniMI-L287/2020,B.1,2020-02-28,,other
EPI_ISL_542250,Italy/LOM-UniMI-L286/2020,B.1,2020-02-28,,other
EPI_ISL_542249,Italy/LOM-UniMI-L285/2020,B.1,2020-02-28,,other
EPI_ISL_542248,Italy/LOM-UniMI-L284/2020,B.1,2020-02-28,,other
EPI_ISL_542247,Italy/LOM-UniMI-L283/2020,B.1,2020-02-28,,other
EPI_ISL_542246,Italy/LOM-UniMI-L282/2020,B.1,2020-02-28,,other
EPI_ISL_542245,Italy/LOM-UniMI-L281/2020,B.1,2020-02-28,,other
EPI_ISL_542244,Italy/LOM-UniMI-L280/2020,B.1,2020-02-28,,other
EPI_ISL_542243,Italy/LOM-UniMI-L279/2020,B.1,2020-02-28,,other
EPI_ISL_542125,Italy/LOM-UniMI-L129/2020,B.1,2020-02-28,,other
EPI_ISL_541968,Spain/IB-IBV-99007264/2020,B.1,2020-02-28,,other
EPI_ISL_539558,Spain/EX-ISCIII-201248/2020,CC,2020-02-28,,other
EPI_ISL_539557,Spain/EX-ISCIII-201239/2020,B.1,2020-02-28,,other
EPI_ISL_539497,Spain/AN-ISCIII-201273/2020,B,2020-02-28,,other
EPI_ISL_537558,USA/CA-UCLA-260/2020,B.4,2020-02-28,,other
EPI_ISL_527919,Switzerland/BL-UHB-42170345/2020,B.1,2020-02-28,,other
EPI_ISL_516085,Italy/MAR-UnivPM-73702/2020,B.1,2020-02-28,,other
EPI_ISL_516084,Italy/MAR-UnivPM-73696/2020,B.1,2020-02-28,,other
EPI_ISL_515909,USA/CA-CDPH016/2020,B,2020-02-28,,other
EPI_ISL_508933,France/ARA-05288/2020,B.1,2020-02-28,,other
EPI_ISL_506953,SouthKorea/KCDC2159/2020,B,2020-02-28,,other
EPI_ISL_506952,SouthKorea/KCDC2158/2020,B,2020-02-28,,other
EPI_ISL_506950,SouthKorea/KCDC2156/2020,B,2020-02-28,,other
EPI_ISL_499843,England/LIVE-A4F89/2020,B.1,2020-02-28,,other
EPI_ISL_479913,Japan/PG-0213/2020,A,2020-02-28,,other
EPI_ISL_479830,Japan/PG-0077/2020,B,2020-02-28,,other
EPI_ISL_479829,Japan/PG-0076/2020,B,2020-02-28,,other
EPI_ISL_479803,Japan/PG-0033/2020,B,2020-02-28,,other
EPI_ISL_475998,Singapore/467/2020,T-,2020-02-28,,other
EPI_ISL_475836,Austria/CeMM0401/2020,B.1,2020-02-28,,other
EPI_ISL_475547,Sweden/20-04852/2020,B.4,2020-02-28,,other
EPI_ISL_475546,Sweden/20-04851/2020,B.4,2020-02-28,,other
EPI_ISL_475545,Sweden/20-04850/2020,B.4,2020-02-28,,other
EPI_ISL_469253,Shanghai/CH-02/2020,B,2020-02-28,,other
EPI_ISL_465473,England/20186075504/2020,B.1,2020-02-28,,other
EPI_ISL_464253,England/20100005604/2020,B,2020-02-28,,other
EPI_ISL_464252,England/20100005504/2020,B,2020-02-28,,other
EPI_ISL_464251,England/20100005304/2020,B.1,2020-02-28,,other
EPI_ISL_464228,England/20099089504/2020,B.4,2020-02-28,,other
EPI_ISL_464224,England/20099072604/2020,B,2020-02-28,,other
EPI_ISL_464223,England/20099072204/2020,B.4,2020-02-28,,other
EPI_ISL_464221,England/20099072004/2020,B,2020-02-28,,other
EPI_ISL_464219,England/20099071804/2020,B.1,2020-02-28,,other
EPI_ISL_464207,England/20099048604/2020,B.1,2020-02-28,,other
EPI_ISL_464206,England/20099048504/2020,B,2020-02-28,,other
EPI_ISL_464205,England/20099048404/2020,B,2020-02-28,,other
EPI_ISL_464201,England/20099000804/2020,B,2020-02-28,,other
EPI_ISL_464199,England/20099000304/2020,B.4,2020-02-28,,other
EPI_ISL_464198,England/20099000104/2020,B.1,2020-02-28,,other
EPI_ISL_460092,Italy/LOM-INMI-11951/2020,B.1,2020-02-28,,other
EPI_ISL_460090,Italy/LOM-INMI-11550/2020,B.1,2020-02-28,,other
EPI_ISL_460080,Italy/LOM-INMI-BG-11639/2020,B.1,2020-02-28,,other
EPI_ISL_455376,Wuhan/HB-WH3-174/2020,A0,2020-02-28,,other
EPI_ISL_455373,Wuhan/HB-WH2-154/2020,B,2020-02-28,,other
EPI_ISL_455314,Spain/AN-ISCIII-201257/2020,A,2020-02-28,,other
EPI_ISL_454993,Wuhan/HB-WHCM-113/2020,B,2020-02-28,,other
EPI_ISL_454940,Wuhan/HB-WH3-176/2020,B,2020-02-28,,other
EPI_ISL_454939,Wuhan/HB-WH3-173/2020,B,2020-02-28,,other
EPI_ISL_454929,Wuhan/HB-WH2-161/2020,B,2020-02-28,,other
EPI_ISL_454928,Wuhan/HB-WH2-160/2020,B,2020-02-28,,other
EPI_ISL_454927,Wuhan/HB-WH2-159/2020,B,2020-02-28,,other
EPI_ISL_454926,Wuhan/HB-WH2-158/2020,B,2020-02-28,,other
EPI_ISL_454925,Wuhan/HB-WH2-157/2020,B,2020-02-28,,other
EPI_ISL_454924,Wuhan/HB-WH2-156/2020,B,2020-02-28,,other
EPI_ISL_454923,Wuhan/HB-WH2-155/2020,B,2020-02-28,,other
EPI_ISL_454922,Wuhan/HB-WH2-152/2020,B,2020-02-28,,other
EPI_ISL_454754,Netherlands/ZuidHolland_10005/2020,B.1,2020-02-28,,other
EPI_ISL_454753,Netherlands/ZuidHolland_10004/2020,B.1,2020-02-28,,other
EPI_ISL_454752,Netherlands/NoordBrabant_10003/2020,B,2020-02-28,,other
EPI_ISL_454751,Netherlands/NoordHolland_10002/2020,B.1,2020-02-28,,other
EPI_ISL_452139,Mexico/CMX-InDRE-07/2020,B.1,2020-02-28,,other
EPI_ISL_440514,England/CAMB-84778/2020,B,2020-02-28,,other
EPI_ISL_440483,England/CAMB-84769/2020,B.1,2020-02-28,,other
EPI_ISL_437995,Austria/CeMM0147/2020,B.1,2020-02-28,,other
EPI_ISL_437994,Austria/CeMM0146/2020,B.1,2020-02-28,,other
EPI_ISL_435582,USA/CA-SCCPHD-UC103/2020,B,2020-02-28,,other
EPI_ISL_435581,USA/CA-SCCPHD-UC102/2020,B,2020-02-28,,other
EPI_ISL_430272,USA/WA-S234/2020,A,2020-02-28,,other
EPI_ISL_427643,Australia/NSW219/2020,B,2020-02-28,,other
EPI_ISL_425178,Spain/VC-FISABIO-54/2020,A,2020-02-28,,other
EPI_ISL_420135,Norway/1455/2020,B,2020-02-28,,other
EPI_ISL_420134,Norway/1495/2020,B.1,2020-02-28,,other
EPI_ISL_419560,USA/FL-CDC-03063111-001/2020,A,2020-02-28,,other
EPI_ISL_419559,USA/FL-CDC-03063109-001/2020,B.1,2020-02-28,,other
EPI_ISL_419553,USA/RI-CDC-03063123-001/2020,B.1,2020-02-28,,other
EPI_ISL_418995,Singapore/12Clin/2020,T-,2020-02-28,,other
EPI_ISL_418799,Australia/QLDID922/2020,B,2020-02-28,,other
EPI_ISL_418243,Spain/AN-ISCIII-201272/2020,B,2020-02-28,,other
EPI_ISL_418220,France/HDF-1645/2020,B.1,2020-02-28,,other
EPI_ISL_417922,Italy/LAZ-INMI4/2020,B.1,2020-02-28,,other
EPI_ISL_417158,USA/WA-S105/2020,A,2020-02-28,,other
EPI_ISL_417156,USA/WA-S103/2020,A,2020-02-28,,other
EPI_ISL_417155,USA/WA-S102/2020,A,2020-02-28,,other
EPI_ISL_417154,USA/WA-S101/2020,A,2020-02-28,,other
EPI_ISL_417152,USA/WA-S99/2020,A,2020-02-28,,other
EPI_ISL_417150,USA/WA-S97/2020,A,2020-02-28,,other
EPI_ISL_417149,USA/WA-S96/2020,A,2020-02-28,,other
EPI_ISL_417148,USA/WA-S95/2020,A,2020-02-28,,other
EPI_ISL_417147,USA/WA-S94/2020,A,2020-02-28,,other
EPI_ISL_417097,USA/WA-S44/2020,A,2020-02-28,,other
EPI_ISL_417095,USA/WA-S42/2020,A,2020-02-28,,other
EPI_ISL_417094,USA/WA-S41/2020,A,2020-02-28,,other
EPI_ISL_417093,USA/WA-S40/2020,A,2020-02-28,,other
EPI_ISL_416143,Denmark/SSI-02/2020,B.1,2020-02-28,,other
EPI_ISL_415700,Switzerland/GE-HUG-1402/2020,B.1,2020-02-28,,other
EPI_ISL_415644,Georgia/Tb-82/2020,B.4,2020-02-28,,other
EPI_ISL_415580,Canada/BC_17397/2020,B.4,2020-02-28,,other
EPI_ISL_415455,Switzerland/GE-HUG-0199/2020,B.1,2020-02-28,,other
EPI_ISL_415454,Switzerland/GE-HUG-1422/2020,B.1,2020-02-28,,other
EPI_ISL_415135,England/20100005406/2020,B.1,2020-02-28,,other
EPI_ISL_415132,England/20100001406/2020,B,2020-02-28,,other
EPI_ISL_414574,Germany/NW-HHU-10/2020,B,2020-02-28,,other
EPI_ISL_414522,England/200990002/2020,B.4,2020-02-28,,other
EPI_ISL_414509,Germany/NW-HHU-09/2020,B,2020-02-28,,other
EPI_ISL_414007,England/200990725/2020,B,2020-02-28,,other
EPI_ISL_414006,England/200990724/2020,B,2020-02-28,,other
EPI_ISL_413869,Guangdong/FS-S42-P0046/2020,B,2020-02-28,,other
EPI_ISL_413596,Australia/NSW10/2020,B,2020-02-28,,other
EPI_ISL_413595,Australia/NSW09/2020,B.4,2020-02-28,,other
EPI_ISL_413594,Australia/NSW08/2020,B,2020-02-28,,other
EPI_ISL_413570,Netherlands/Diemen_1363454/2020,B.1,2020-02-28,,other
EPI_ISL_413569,Netherlands/Delft_1363424/2020,B.1,2020-02-28,,other
EPI_ISL_413560,USA/WA-S3/2020,A,2020-02-28,,other
EPI_ISL_413557,USA/CA-CDPH-UC1/2020,A,2020-02-28,,other
EPI_ISL_413488,Germany/NW-HHU-01/2020,B,2020-02-28,,other
EPI_ISL_413455,USA/WA4-UW2/2020,A,2020-02-28,,other
EPI_ISL_413221,Scotland/CVR01/2020,B.1,2020-02-28,,other
EPI_ISL_413016,Brazil/SP-02/2020,B,2020-02-28,,other
EPI_ISL_412975,Australia/NSW05/2020,B.4,2020-02-28,,other
EPI_ISL_2896261,Georgia/MM202082/2020,B.4,2020-02-28,,other
EPI_ISL_1064067,Italy/VEN-SR-37-B/2020,B,2020-02-28,,other
EPI_ISL_1064066,Italy/VEN-SR-50-B/2020,B,2020-02-28,,other
EPI_ISL_1064065,Italy/VEN-SR-35-B/2020,B,2020-02-28,,other
EPI_ISL_1064064,Italy/VEN-SR-48-B/2020,B,2020-02-28,,other
EPI_ISL_1064063,Italy/VEN-SR-66-B/2020,B,2020-02-28,,other
EPI_ISL_1064062,Italy/VEN-SR-5-B/2020,B,2020-02-28,,other
EPI_ISL_1064061,Italy/VEN-SR-10-B/2020,B,2020-02-28,,other
EPI_ISL_1064060,Italy/VEN-SR-18-B/2020,B,2020-02-28,,other
EPI_ISL_1064034,Italy/VEN-SR-27-B/2020,B,2020-02-28,,other
EPI_ISL_1040048,Henan/fahzu0035/2020,A0,2020-02-28,,other
EPI_ISL_1015211,France/IDF_PSL_488/2020,B.1,2020-02-28,,other
EPI_ISL_1015210,France/IDF_PSL_487/2020,B.1,2020-02-28,,other
EPI_ISL_1015044,France/IDF_PSL_489/2020,B.1,2020-02-28,,other
EPI_ISL_1015043,France/IDF_PSL_214/2020,B.1,2020-02-28,,other
EPI_ISL_1015004,France/IDF_PSL_165/2020,B.1,2020-02-28,,other
EPI_ISL_1015003,France/IDF_PSL_229/2020,B.1,2020-02-28,,other
OR240397,SH-P262-2-Wuhan/2020-02-29,B.4,2020-02-29,,other
OR240531,SH-P64-B-2-Asia-Japan/2020-02-29,B.4,2020-02-29,,other
EPI_ISL_940538,France/IDF_HB_112002107630/2020,B.1,2020-02-29,,other
EPI_ISL_896179,France/PAC-IHUCOVID-0006/2020,B.1,2020-02-29,,other
EPI_ISL_871975,Spain/EX-ISCIII-201259/2020,B,2020-02-29,,other
EPI_ISL_871974,Spain/EX-ISCIII-201258/2020,B,2020-02-29,,other
EPI_ISL_862634,Spain/CT-ISCIII-202043/2020,B.1,2020-02-29,,other
EPI_ISL_856898,Italy/PIE-ISS-1177/2020,B.1,2020-02-29,,other
EPI_ISL_856892,Italy/CAM-ISS-780/2020,B.1,2020-02-29,,other
EPI_ISL_693388,France/PAC02004/2020,B.1,2020-02-29,,other
EPI_ISL_690745,Japan/PG-2611/2020,B,2020-02-29,,other
EPI_ISL_684164,Japan/PG-0380/2020,A,2020-02-29,,other
EPI_ISL_684113,Japan/PG-0079/2020,B,2020-02-29,,other
EPI_ISL_629085,France/ARA-SC005/2020,B.1,2020-02-29,,other
EPI_ISL_629083,France/ARA-SC003/2020,B.1,2020-02-29,,other
EPI_ISL_542412,Italy/LOM-UniMI-L66/2020,B.1,2020-02-29,,other
EPI_ISL_542263,Italy/LOM-UniMI-L310/2020,B.1,2020-02-29,,other
EPI_ISL_542262,Italy/LOM-UniMI-L309/2020,B.1,2020-02-29,,other
EPI_ISL_542261,Italy/LOM-UniMI-L302/2020,B.1,2020-02-29,,other
EPI_ISL_542260,Italy/LOM-UniMI-L299/2020,B.1,2020-02-29,,other
EPI_ISL_542259,Italy/LOM-UniMI-L296/2020,B.1,2020-02-29,,other
EPI_ISL_542258,Italy/LOM-UniMI-L295/2020,B.1,2020-02-29,,other
EPI_ISL_542257,Italy/LOM-UniMI-L294/2020,B.1,2020-02-29,,other
EPI_ISL_542256,Italy/LOM-UniMI-L293/2020,B.1,2020-02-29,,other
EPI_ISL_542255,Italy/LOM-UniMI-L292/2020,B.1,2020-02-29,,other
EPI_ISL_542254,Italy/LOM-UniMI-L290/2020,B.1,2020-02-29,,other
EPI_ISL_542253,Italy/LOM-UniMI-L289/2020,B.1,2020-02-29,,other
EPI_ISL_525575,USA/NY-Wadsworth-10131-01/2020,B.4,2020-02-29,,other
EPI_ISL_506951,SouthKorea/KCDC2157/2020,B,2020-02-29,,other
EPI_ISL_488388,England/BRIS-12F565/2020,B.1,2020-02-29,,other
EPI_ISL_479804,Japan/PG-0036/2020,B,2020-02-29,,other
EPI_ISL_464412,England/201061454/2020,B.1,2020-02-29,,other
EPI_ISL_464259,England/20100120904/2020,B.1,2020-02-29,,other
EPI_ISL_464247,England/20100004404/2020,B.4,2020-02-29,,other
EPI_ISL_464218,England/20099071404/2020,B,2020-02-29,,other
EPI_ISL_464217,England/20099070104/2020,B,2020-02-29,,other
EPI_ISL_464216,England/20099069904/2020,B,2020-02-29,,other
EPI_ISL_464215,England/20099069504/2020,B.1,2020-02-29,,other
EPI_ISL_464214,England/20099069004/2020,B.1,2020-02-29,,other
EPI_ISL_464212,England/20099068604/2020,B.4,2020-02-29,,other
EPI_ISL_464211,England/20099068304/2020,B.4,2020-02-29,,other
EPI_ISL_464210,England/20099068104/2020,B.4,2020-02-29,,other
EPI_ISL_464203,England/20099038304/2020,B.1,2020-02-29,,other
EPI_ISL_464202,England/20099015104/2020,B,2020-02-29,,other
EPI_ISL_461101,Netherlands/NA_666/2020,B,2020-02-29,,other
EPI_ISL_460093,Italy/LOM-INMI-12578/2020,B.1,2020-02-29,,other
EPI_ISL_460084,Italy/LOM-INMI-BS-12256/2020,B.1,2020-02-29,,other
EPI_ISL_455351,Spain/PV-ISCIII-201388/2020,A,2020-02-29,,other
EPI_ISL_455350,Spain/PV-ISCIII-201385/2020,A,2020-02-29,,other
EPI_ISL_455336,Spain/RI-ISCIII-201277/2020,A,2020-02-29,,other
EPI_ISL_455326,CanaryIslands/CN-ISCIII-201939/2020,B.1,2020-02-29,,other
EPI_ISL_452772,Spain/PV-IBV-000692/2020,A,2020-02-29,,other
EPI_ISL_452692,Spain/PV-IBV-000860/2020,A,2020-02-29,,other
EPI_ISL_452332,Beijing/DT-travelUSA01/2020,B,2020-02-29,,other
EPI_ISL_436361,Spain/VC-FISABIO-266/2020,A,2020-02-29,,other
EPI_ISL_435587,USA/CA-SCCPHD-UC108/2020,B,2020-02-29,,other
EPI_ISL_435584,USA/CA-SCCPHD-UC105/2020,B.1,2020-02-29,,other
EPI_ISL_435583,USA/CA-SCCPHD-UC104/2020,B.1,2020-02-29,,other
EPI_ISL_430469,Greece/127_HPI/2020,B.1,2020-02-29,,other
EPI_ISL_430281,USA/WA-S243/2020,A,2020-02-29,,other
EPI_ISL_430273,USA/WA-S235/2020,A,2020-02-29,,other
EPI_ISL_430160,USA/WA-S123/2020,A,2020-02-29,,other
EPI_ISL_430135,USA/WA-S281/2020,A,2020-02-29,,other
EPI_ISL_420801,SouthKorea/un-CDC-03066200-001/2020,B,2020-02-29,,other
EPI_ISL_420800,SouthKorea/un-CDC-03066201-001/2020,B,2020-02-29,,other
EPI_ISL_420791,USA/NH-CDC-03065707-001/2020,B.1,2020-02-29,,other
EPI_ISL_419562,Luxembourg/LNS0000001/2020,B.1,2020-02-29,,other
EPI_ISL_419557,USA/GA-CDC-03063103-001/2020,B.1,2020-02-29,,other
EPI_ISL_419556,USA/GA-CDC-03063100-001/2020,B.1,2020-02-29,,other
EPI_ISL_417489,Norway/1494/2020,B,2020-02-29,,other
EPI_ISL_417488,Norway/1493/2020,B,2020-02-29,,other
EPI_ISL_417318,USA/CA-SCCPHD-UC14/2020,B,2020-02-29,,other
EPI_ISL_417172,USA/WA-S119/2020,A,2020-02-29,,other
EPI_ISL_417168,USA/WA-S115/2020,A,2020-02-29,,other
EPI_ISL_417166,USA/WA-S113/2020,A,2020-02-29,,other
EPI_ISL_417161,USA/WA-S108/2020,A,2020-02-29,,other
EPI_ISL_417160,USA/WA-S107/2020,A,2020-02-29,,other
EPI_ISL_417159,USA/WA-S106/2020,A,2020-02-29,,other
EPI_ISL_417153,USA/WA-S100/2020,A,2020-02-29,,other
EPI_ISL_417151,USA/WA-S98/2020,A,2020-02-29,,other
EPI_ISL_417146,USA/WA-S93/2020,A,2020-02-29,,other
EPI_ISL_417145,USA/WA-S92/2020,A,2020-02-29,,other
EPI_ISL_417143,USA/WA-S90/2020,A,2020-02-29,,other
EPI_ISL_417142,USA/WA-S89/2020,A,2020-02-29,,other
EPI_ISL_417108,USA/WA-S55/2020,A,2020-02-29,,other
EPI_ISL_417101,USA/WA-S48/2020,A,2020-02-29,,other
EPI_ISL_417100,USA/WA-S47/2020,A,2020-02-29,,other
EPI_ISL_417099,USA/WA-S46/2020,A,2020-02-29,,other
EPI_ISL_417098,USA/WA-S45/2020,A,2020-02-29,,other
EPI_ISL_416742,CzechRepublic/ChVir1630/2020,B.1,2020-02-29,,other
EPI_ISL_416465,USA/WA-S10/2020,A,2020-02-29,,other
EPI_ISL_416461,USA/WA-S6/2020,A,2020-02-29,,other
EPI_ISL_416460,USA/WA-S5/2020,A,2020-02-29,,other
EPI_ISL_415459,Switzerland/GE-HUG-VD0503/2020,B.1,2020-02-29,,other
EPI_ISL_415457,Switzerland/AG-HUG-7120/2020,B.1,2020-02-29,,other
EPI_ISL_415456,Switzerland/BE-HUG-6651/2020,B.1,2020-02-29,,other
EPI_ISL_415159,Belgium/BA-02291/2020,B.1,2020-02-29,,other
EPI_ISL_415141,England/20100121007/2020,B.1,2020-02-29,,other
EPI_ISL_415140,England/20100121006/2020,B.1,2020-02-29,,other
EPI_ISL_415136,England/20100022706/2020,B.1,2020-02-29,,other
EPI_ISL_415134,England/20100004806/2020,B.1,2020-02-29,,other
EPI_ISL_415133,England/20100004706/2020,B.1,2020-02-29,,other
EPI_ISL_415131,England/20099107406/2020,B.1,2020-02-29,,other
EPI_ISL_415129,England/20099038206/2020,B.1,2020-02-29,,other
EPI_ISL_415128,Brazil/ES-FIOCRUZ-225/2020,B,2020-02-29,,other
EPI_ISL_414626,France/HDF-1684/2020,B.1,2020-02-29,,other
EPI_ISL_414476,USA/NY1-PV08001/2020,B.4,2020-02-29,,other
EPI_ISL_414414,Australia/QLD09/2020,B.4,2020-02-29,,other
EPI_ISL_414016,Brazil/SP-05/2020,B.1,2020-02-29,,other
EPI_ISL_414015,Brazil/SP-06/2020,B.1,2020-02-29,,other
EPI_ISL_413593,Luxembourg/Lux1/2020,B.1,2020-02-29,,other
EPI_ISL_413581,Netherlands/Oss_1363500/2020,B,2020-02-29,,other
EPI_ISL_413576,Netherlands/Loon_op_zand_1363512/2020,B,2020-02-29,,other
EPI_ISL_413575,Netherlands/Houten_1363498/2020,B.1,2020-02-29,,other
EPI_ISL_413574,Netherlands/Helmond_1363548/2020,B.1,2020-02-29,,other
EPI_ISL_413457,USA/WA6-UW3/2020,A,2020-02-29,,other
EPI_ISL_413214,Australia/NSW07/2020,B.4,2020-02-29,,other
EPI_ISL_413213,Australia/NSW06/2020,B.4,2020-02-29,,other
EPI_ISL_413024,Switzerland/ZH-UZH-1000477806/2020,B.1,2020-02-29,,other
EPI_ISL_413023,Switzerland/ZH-UZH-1000477797/2020,B.1,2020-02-29,,other
EPI_ISL_413022,Switzerland/ZH-UZH-1000477796/2020,B.1,2020-02-29,,other
EPI_ISL_413021,Switzerland/ZH-UZH-1000477757/2020,B.1,2020-02-29,,other
EPI_ISL_1064059,Italy/VEN-SR-72-B/2020,B,2020-02-29,,other
EPI_ISL_1015045,France/IDF_PSL_141/2020,B.1,2020-02-29,,other
EPI_ISL_1015034,France/IDF_PSL_137/2020,B.1,2020-02-29,,other
